,actual,naive_forecast,hw_forecast,naive_error,hw_error,calendar_month
1970-10-01,6424,5194.0,5908.273226917874,1230.0,515.7267730821259,Oct
1970-11-01,9842,5194.0,8790.500621946128,4648.0,1051.4993780538716,Nov
1970-12-01,13076,5194.0,10859.16439247689,7882.0,2216.8356075231095,Dec
1971-01-01,3934,5194.0,3631.9393498995496,-1260.0,302.0606501004504,Jan
1971-02-01,3162,5194.0,3407.280397684751,-2032.0,-245.28039768475082,Feb
1971-03-01,4286,5194.0,3884.7015559778115,-908.0,401.2984440221885,Mar
1971-04-01,4676,5194.0,3978.18858310895,-518.0,697.8114168910502,Apr
1971-05-01,5010,5194.0,4209.470158914335,-184.0,800.5298410856649,May
1971-06-01,4874,5194.0,4285.693142330115,-320.0,588.3068576698852,Jun
1971-07-01,4633,5194.0,3598.538994566134,-561.0,1034.461005433866,Jul
1971-08-01,1659,5194.0,1809.49864807154,-3535.0,-150.49864807153995,Aug
1971-09-01,5951,5194.0,4557.488689493761,757.0,1393.5113105062392,Sep
1971-10-01,6981,5194.0,5870.848021593906,1787.0,1110.1519784060938,Oct
1971-11-01,9851,5194.0,8734.788905526857,4657.0,1116.211094473143,Nov
1971-12-01,12670,5194.0,10790.305700629599,7476.0,1879.6942993704015,Dec
1972-01-01,4348,5194.0,3608.896801986287,-846.0,739.1031980137132,Jan
1972-02-01,3564,5194.0,3385.6517453713495,-1630.0,178.34825462865047,Feb
1972-03-01,4577,5194.0,3860.0292899848873,-617.0,716.9707100151127,Mar
1972-04-01,4788,5194.0,3952.9091889335778,-406.0,835.0908110664222,Apr
1972-05-01,4618,5194.0,4182.70691401602,-576.0,435.29308598397984,May
1972-06-01,5312,5194.0,4258.430837786805,118.0,1053.5691622131953,Jun
1972-07-01,4298,5194.0,3575.6356984658805,-896.0,722.3643015341195,Jul
1972-08-01,1413,5194.0,1797.9757839249532,-3781.0,-384.97578392495325,Aug
1972-09-01,5877,5194.0,4528.451250893671,683.0,1348.5487491063286,Sep
