sku_name,total_value,avg_monthly_units,unit_price,cumulative_value,cumulative_pct,ABC,CV,XYZ,ABC_XYZ
Duty-Free Cigarettes Carton,1427160.0,1486.625,40.0,1427160.0,16.51409618631366,A,0.0962471226451278,X,AX
Premium Whiskey 700ml,1031850.0,955.4166666666666,45.0,2459010.0,28.45394185873144,A,0.2240695826707722,Y,AY
Perfume 50ml (Mid-tier),699930.0,530.25,55.0,3158940.0,36.55304170996502,A,0.2136337230637689,Y,AY
Business Class Wine (Bordeaux),690755.0,442.7916666666667,65.0,3849695.0,44.54597488576668,A,0.20330274317421307,Y,AY
Luxury Chocolate Box,581904.0,1347.0,18.0,4431599.0,51.279360509803695,A,0.2271139966054808,Y,AY
Gin & Tonic Gift Set,544080.0,755.6666666666666,30.0,4975679.0,57.575073291166355,A,0.24431980759085917,Y,AY
Premium Noise-Cancelling Headphones,503580.0,190.75,110.0,5479259.0,63.40214843165784,A,0.2252973697941562,Y,AY
Rare Single-Malt Scotch,478680.0,166.20833333333334,120.0,5957939.0,68.94109820776187,A,0.33041251047786896,Z,AZ
Standard Sandwich,432108.0,4001.0,4.5,6390047.0,73.94114941076339,A,0.0866479693672065,X,AX
Designer Sunglasses,298490.0,130.91666666666666,95.0,6688537.0,77.3950666804828,A,0.41838052244244867,Z,AZ
Bottled Water 500ml,227680.8,7905.583333333333,1.2,6916217.8,80.02962947020283,B,0.0788328613029598,X,BX
Standard Headphones,217665.0,604.625,15.0,7133882.8,82.54829643564045,B,0.09377913522199118,X,BX
Soft Drink Can,216082.1,6925.708333333333,1.3,7349964.899999999,85.04864719066487,B,0.07995554209575588,X,BX
Limited-Edition Cologne,183090.0,89.75,85.0,7533054.899999999,87.16723646639582,B,0.34413186250044114,Z,BZ
Power Bank / Charger,181698.0,344.125,22.0,7714752.899999999,89.26971849284051,B,0.07868327872114646,X,BX
Snack Bar - Standard,181393.5,5038.708333333333,1.5,7896146.399999999,91.36867705850385,B,0.06894620986578814,X,BX
Premium Sandwich (Seasonal Menu),126378.0,877.625,6.0,8022524.399999999,92.83103478141786,B,0.19691471051217582,Y,BY
Novelty Travel Gadget,120875.0,201.45833333333334,25.0,8143399.399999999,94.22971564167226,B,0.4580824248461241,Z,BZ
Business Class Amenity Kit,116088.0,403.0833333333333,12.0,8259487.399999999,95.57300468990564,C,0.06517106045728109,X,CX
Coffee Sachets,112773.6,5873.625,0.8,8372260.999999999,96.87794182216612,C,0.07237075822176456,X,CX
Regional Craft Beer (rotating),86339.0,654.0833333333334,5.5,8458600.0,97.87699627340504,C,0.4819902425483601,Z,CZ
Kids Activity Pack,65964.0,916.1666666666666,3.0,8524564.0,98.64028549173656,C,0.21500280897293625,Y,CY
Tea Bags Box,65061.0,3012.0833333333335,0.9,8589625.0,99.3931258263716,C,0.07442233181476979,X,CX
Vegan Meal Option,38915.5,249.45833333333334,6.5,8628540.5,99.84342874274994,C,0.0864304341220312,X,CX
Allergen-Free Meal,13531.0,80.54166666666667,7.0,8642071.5,100.0,C,0.44038691333162466,Z,CZ
